"Type","Block","Num","Pvalue","Enrichment","ET_B_occurence","ET_P_occurence","median","ET_B_median","ET_P_median","FDR"
"Bacteroides_caccae","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.090266471353703,"ET_B",1,1,0.00306933944161309,"0.00396705165832023","0.00162350507955774",0.330977061630244
"Parabacteroides_merdae","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.515175681338534,"ET_B",1,1,0.00436753669575559,"0.0047424603119027","0.00400803970796871",0.838009761075259
"Faecalibacterium_prausnitzii","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.515175681338534,"ET_B",1,1,0.00745458080667933,"0.00803610325631672","0.00667319494639995",0.838009761075259
"Bacteroides_thetaiotaomicron","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",5.7497140154278e-05,"ET_B",1,1,0.00782357238243133,"0.00906980535089526","0.00304389921373107",0.000790585677121323
"Bacteroides_stercoris","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.0798462082260806,"ET_B",1,1,0.00889185734680412,"0.0234636636058949","0.00492666859462306",0.306386612960542
"Bacteroides_xylanisolvens","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",4.20644034030736e-05,"ET_B",1,1,0.00953528717153435,"0.0125535865487463","0.00323928944525782",0.000738543337391076
"Bacteroides_ovatus","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.0264921211726236,"ET_B",1,1,0.0101695696122662,"0.0152751270723695","0.00953866580534309",0.156114285481532
"Alistipes_putredinis","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.397691829866735,"ET_B",1,1,0.0123884607733769,"0.0166211105083767","0.0117682480415656",0.754243125609325
"Parabacteroides_distasonis","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.000408229785900882,"ET_B",1,1,0.0136549750926715,"0.0153810163333895","0.00723999527783871",0.0044905276449097
"Bacteroides_uniformis","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",4.20644034030736e-05,"ET_B",1,1,0.0260402134761384,"0.0477562492403262","0.00696667554116939",0.000738543337391076
"Bacteroides_dorei","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",4.92362224927384e-05,"ET_B",1,1,0.0468444845076815,"0.054255416887673","0.0104350956219861",0.000738543337391076
"Fusobacterium_mortiferum","After ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.0319417675457354,"ET_B",0.9286,0.7692,7.19591286254556e-07,"3.71440101571796e-06","1.96925077525915e-07",0.142443017433685
"Turicibacter_sanguinis","After ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.362119738803212,"ET_P",0.8571,0.9231,9.75399041917879e-07,"8.04755173204645e-07","1.17463559311357e-06",0.616546461163696
"unclassified_Streptococcus_sp._C150","After ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.708855486821511,"ET_P",1,0.9231,1.14133670721116e-06,"1.08216131466217e-06","1.39429088090789e-06",0.890843388461706
"unclassified_Clostridium_sp._7_2_43FAA","After ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.424394310410236,"ET_P",0.8571,1,1.19492601494598e-06,"1.13082588650766e-06","1.22339403993243e-06",0.679854963278533
"Treponema_vincentii","After ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.445996626203043,"ET_P",1,1,1.30113103348332e-06,"1.14108640744956e-06","1.72191953989551e-06",0.70085184117621
"Mitsuokella_multacida","After ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.167604691470247,"ET_P",1,1,1.33768479707186e-06,"9.90237542949791e-07","2.24865730635869e-06",0.400793827428852
"Campylobacter_hominis","After ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.340073775312475,"ET_B",0.8929,0.7692,1.35141254089552e-06,"1.69659661543888e-06","1.35141254089552e-06",0.590654451858509
"Megasphaera_micronuciformis","After ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.0164941614361994,"ET_B",1,1,1.38746461601779e-06,"1.7919495300833e-06","9.69477961491334e-07",0.0971977370347465
"Streptococcus_anginosus","After ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.0849308580408445,"ET_B",1,1,1.42947956596999e-06,"1.72661222379583e-06","8.49373072471139e-07",0.250242706727488
"Streptococcus_mitis","After ET_B_vs_ET_P","ET_B28_vs_ET_P13",1,"ET_B",1,1,1.50372709389561e-06,"1.53576036666446e-06","1.4920208314252e-06",1
"Bacteroides_coprosuis","After ET_B_vs_ET_P","ET_B28_vs_ET_P13",1,"ET_P",0.9643,0.9231,1.53297811990766e-06,"1.29460796555989e-06","2.1384619003442e-06",1
"Bifidobacterium_animalis","After ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.0441267028652082,"ET_B",1,1,1.5783648164447e-06,"2.07537394603728e-06","7.91743154962082e-07",0.177583072506326
"Acidaminococcus_intestini","After ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.988813615093449,"ET_B",0.8929,0.8462,1.5924149476588e-06,"1.68842295010537e-06","1.29826327940223e-06",1
